latitude,longitude,altitude,geometry,@osmId,@snapshotTimestamp,leisure
52.4973827,13.3504533,,Point,node/1870398737,2019-01-01T00:00:00Z,fitness_centre
52.6080056,13.3252697,,Point,node/3331333818,2019-01-01T00:00:00Z,tanning_salon
52.5771159,13.282641,,Point,node/3332243448,2019-01-01T00:00:00Z,playground
52.3647347,13.1274733,,Point,node/3272868878,2019-01-01T00:00:00Z,tanning_salon
52.5098876,13.3240444,,Point,node/1914079256,2019-01-01T00:00:00Z,sports_centre
52.3601594,13.1350872,,Point,node/3278257604,2019-01-01T00:00:00Z,playground
52.4788635,13.3268757,,Point,node/1914085674,2019-01-01T00:00:00Z,sports_centre
52.4867086,13.318198,,Point,node/1914085781,2019-01-01T00:00:00Z,sports_centre
52.5771638,13.2825584,,Point,node/3332243455,2019-01-01T00:00:00Z,pitch
52.3582836,13.135967,,Point,node/3278257605,2019-01-01T00:00:00Z,playground
52.4971004,13.3232358,,Point,node/1914552746,2019-01-01T00:00:00Z,sports_centre
52.5771715,13.2826602,,Point,node/3332243458,2019-01-01T00:00:00Z,pitch
52.5822027,13.3001791,,Point,node/3332244770,2019-01-01T00:00:00Z,pitch
52.5822458,13.3002664,,Point,node/3332244772,2019-01-01T00:00:00Z,pitch
52.5822851,13.3003584,,Point,node/3332244774,2019-01-01T00:00:00Z,pitch
52.565485,13.3211798,,Point,node/3362345316,2019-01-01T00:00:00Z,tanning_salon
52.5773981,13.2877348,,Point,node/3375657922,2019-01-01T00:00:00Z,playground
52.6003353,13.351209,,Point,node/3701368900,2019-01-01T00:00:00Z,track
52.6013243,13.3553138,,Point,node/3701370553,2019-01-01T00:00:00Z,playground
52.3592516,13.1363953,,Point,node/3278257606,2019-01-01T00:00:00Z,playground
52.3602198,13.1363533,,Point,node/3278257607,2019-01-01T00:00:00Z,playground
